id,profit0,online0
991,59,0
992,201,0
993,195,1
994,-54,0
995,,
996,69,0
997,152,0
998,174,0
999,316,1
1000,145,0
1001,2,0
1002,-28,1
1003,,
1004,-84,0
1005,-48,0
1006,-9,1
1007,113,0
1008,133,1
1009,-21,1
1010,64,0
1011,-113,1
1012,-53,0
1013,,
1014,310,1
1015,7,0
1016,52,1
1017,642,0
1018,547,0
1019,-67,0
1020,89,0
1021,,
1022,,
1023,178,0
1024,489,0
1025,,
1026,,
1027,222,0
1028,,
1029,,
1030,6,0
1031,-30,0
1032,,
1033,876,1
1034,-62,1
1035,-31,1
1036,9,0
1037,2922,0
1038,308,0
1039,712,0
1040,-43,1
1041,-22,0
1042,,
1043,,
1044,-35,0
1045,-35,0
1046,,
1047,23,0
1048,51,0
1049,28,1
1050,0,0
1051,21,1
1052,,
1053,-25,0
1054,35,0
1055,,
1056,368,0
1057,221,0
1058,6,0
1059,-28,0
1060,-9,0
1061,-39,0
1062,-33,0
1063,-34,0
1064,68,0
1065,117,0
1066,-28,0
1067,32,0
1068,847,0
1069,-55,0
1070,-57,0
1071,-29,0
1072,,
1073,224,0
1074,183,0
1075,-24,0
1076,-48,0
1077,-29,1
1078,,
1079,-1,0
1080,24,1
1081,103,0
1082,,
1083,-33,1
1084,65,1
1085,31,0
1086,,
1087,423,0
1088,10,0
1089,949,0
1090,,
1091,-73,0
1092,621,0
1093,0,0
1094,-53,0
1095,56,1
1096,,
1097,,
1098,,
1099,-62,0
1100,75,0
1101,,
1102,-15,0
1103,-160,0
1104,1028,0
1105,-30,0
1106,-38,0
1107,52,0
1108,-43,0
1109,,
1110,40,1
1111,335,0
1112,-191,0
1113,,
1114,213,0
1115,-22,0
1116,-19,0
1117,101,0
1118,-37,0
1119,-17,0
1120,11,0
1121,,
1122,,
1123,,
1124,,
1125,38,0
1126,429,1
1127,316,1
1128,581,0
1129,390,0
1130,475,0
1131,109,0
1132,-15,0
1133,1,0
1134,-21,0
1135,,
1136,16,0
1137,267,0
1138,104,0
1139,141,0
1140,-199,0
1141,-3,0
1142,179,0
1143,-94,1
1144,,
1145,83,1
1146,-12,0
1147,,
1148,-70,0
1149,90,1
1150,-143,0
1151,,
1152,201,0
1153,54,1
1154,-37,0
1155,1014,0
1156,-30,0
1157,-48,0
1158,,
1159,167,0
1160,461,0
1161,5,0
1162,,
1163,566,0
1164,-36,0
1165,-12,0
1166,84,0
1167,90,0
1168,1568,1
1169,128,1
1170,-119,0
1171,1224,0
1172,517,0
1173,210,0
1174,77,0
1175,7,0
1176,,
1177,450,0
1178,-27,0
1179,956,0
1180,,
1181,-37,0
1182,48,0
1183,513,1
1184,495,0
1185,44,0
1186,25,0
1187,-34,0
1188,-77,0
1189,372,1
1190,425,0
1191,104,1
1192,4,0
1193,-31,0
1194,472,0
1195,27,0
1196,263,0
1197,-18,0
1198,,
1199,-70,0
1200,-81,0
1201,-65,0
1202,47,0
1203,116,0
1204,,
1205,172,0
1206,-38,0
1207,419,0
1208,-37,0
1209,-26,0
1210,-15,1
1211,719,0
1212,1455,0
1213,87,0
1214,,
1215,-71,0
1216,-21,0
1217,-72,1
1218,395,0
1219,0,0
1220,29,0
1221,,
1222,-21,0
1223,207,0
1224,,
1225,88,0
1226,-94,0
1227,50,0
1228,25,0
1229,636,0
1230,,
1231,3,0
1232,,
1233,314,0
1234,-34,0
1235,61,1
1236,57,0
1237,67,0
1238,332,1
1239,11,0
1240,209,0
1241,-72,1
1242,39,1
1243,368,1
1244,46,0
1245,-3,0
1246,,
1247,11,0
1248,191,0
1249,-203,0
1250,-26,1
1251,929,0
1252,1097,0
1253,241,0
1254,,
1255,,
1256,75,0
1257,2017,1
1258,-166,0
1259,,
1260,-105,0
1261,,
1262,331,0
1263,-23,0
1264,35,1
1265,310,1
1266,5,0
1267,-9,0
1268,369,0
1269,,
1270,35,0
1271,-34,0
1272,239,0
1273,-22,0
1274,-32,0
1275,-37,0
1276,,
1277,54,1
1278,141,0
1279,277,0
1280,,
1281,532,0
1282,365,0
1283,,
1284,-67,0
1285,214,1
1286,-141,0
1287,,
1288,-11,0
1289,430,0
1290,,
1291,271,0
1292,-91,0
1293,-21,0
1294,1783,0
1295,-27,1
1296,-54,0
1297,62,0
1298,-43,0
1299,203,1
1300,-42,0
1301,-92,0
1302,,
1303,116,0
1304,526,1
1305,48,0
1306,572,0
1307,-61,0
1308,-80,0
1309,,
1310,-21,0
1311,-189,1
1312,-58,0
1313,129,0
1314,,
1315,22,0
1316,,
1317,649,0
1318,-23,0
1319,630,1
1320,-25,0
1321,342,0
1322,-132,0
1323,-11,0
1324,292,1
1325,-26,0
1326,,
1327,364,1
1328,-29,1
1329,-16,0
1330,15,0
1331,90,0
1332,-68,0
1333,39,0
1334,-179,0
1335,-21,0
1336,,
1337,362,0
1338,,
1339,-112,0
1340,60,0
1341,,
1342,12,0
1343,128,0
1344,,
1345,170,0
1346,-39,1
1347,94,0
1348,,
1349,-3,0
1350,,
1351,333,0
1352,,
1353,-58,1
1354,147,0
1355,-96,0
1356,94,0
1357,686,0
1358,,
1359,260,0
1360,-21,0
1361,2778,0
1362,17,1
1363,17,1
1364,-49,0
1365,-2,0
1366,684,0
1367,,
1368,2901,0
1369,-120,0
1370,-22,0
1371,272,0
1372,,
1373,-24,0
1374,204,1
1375,986,1
1376,221,0
1377,300,1
1378,211,0
1379,,
1380,268,0
1381,-27,0
1382,-56,1
1383,789,0
1384,-69,0
1385,,
1386,-2,0
1387,1172,1
1388,269,0
1389,12,0
1390,-74,0
1391,427,0
1392,1687,0
1393,121,0
1394,73,0
1395,-116,0
1396,-2,0
1397,-2,0
1398,10,0
1399,-84,0
1400,-117,0
1401,4,0
1402,-20,0
1403,23,0
1404,-26,1
1405,-29,0
1406,,
1407,29,0
1408,-70,0
1409,,
1410,77,0
1411,42,0
1412,-9,0
1413,419,0
1414,-22,0
1415,-23,0
1416,-56,1
1417,173,1
1418,98,0
1419,-60,0
1420,27,0
1421,-98,1
1422,-52,0
1423,,
1424,-25,0
1425,,
1426,,
1427,139,0
1428,45,0
1429,,
1430,-47,0
1431,,
1432,-3,0
1433,-12,0
1434,-31,1
1435,,
1436,300,0
1437,,
1438,45,0
1439,-243,1
1440,10,1
1441,747,0
1442,-10,1
1443,371,0
1444,-20,0
1445,,
1446,747,0
1447,54,0
1448,-45,1
1449,-71,0
1450,446,1
1451,-47,0
1452,191,0
1453,300,1
1454,-197,0
1455,59,0
1456,-183,1
1457,,
1458,,
1459,-69,0
1460,62,0
1461,,
1462,476,0
1463,797,0
1464,-26,0
1465,13,0
1466,-108,1
1467,-31,0
1468,-71,0
1469,1244,0
1470,,
1471,1667,0
1472,2285,0
1473,12,1
1474,-17,0
1475,-27,0
1476,123,0
1477,,
1478,127,0
1479,539,0
1480,,
1481,-126,1
1482,544,1
1483,,
1484,525,0
1485,142,0
1486,398,0
1487,,
1488,782,0
1489,34,0
1490,111,0
1491,0,1
1492,26,1
1493,114,0
1494,359,0
1495,241,0
1496,-135,0
1497,,
1498,-34,0
1499,,
1500,-66,0
1501,-9,1
1502,3482,0
1503,,
1504,,
1505,-48,1
1506,-8,0
1507,-35,1
1508,208,0
1509,-19,0
1510,-54,1
1511,101,0
1512,-30,0
1513,57,0
1514,767,0
1515,49,0
1516,-20,0
1517,-27,0
1518,158,0
1519,682,0
1520,144,0
1521,-31,0
1522,94,0
1523,210,0
1524,64,0
1525,-38,0
1526,-4,1
1527,-46,0
1528,-4,0
1529,-54,1
1530,-34,0
1531,1194,1
1532,-5,0
1533,-2,0
1534,-23,0
1535,-176,0
1536,-48,0
1537,157,0
1538,37,1
1539,-24,0
1540,101,1
1541,375,0
1542,153,0
1543,,
1544,145,0
1545,0,0
1546,342,0
1547,,
1548,103,1
1549,-14,0
1550,44,0
1551,-74,0
1552,,
1553,179,0
1554,54,1
1555,,
1556,-62,0
1557,2336,1
1558,,
1559,,
1560,-167,0
1561,-6,0
1562,,
1563,,
1564,5,0
1565,,
1566,-45,1
1567,-25,0
1568,908,0
1569,-23,0
1570,-101,1
1571,431,1
1572,,
1573,-2,0
1574,68,1
1575,,
1576,34,0
1577,,
1578,-193,0
1579,,
1580,167,0
1581,946,1
1582,115,0
1583,99,0
1584,160,0
1585,-19,0
1586,,
1587,-21,0
1588,,
1589,-168,0
1590,513,1
1591,68,0
1592,378,1
1593,-24,0
1594,173,1
1595,-62,0
1596,23,0
1597,563,0
1598,373,0
1599,93,0
1600,80,0
1601,78,0
1602,-18,0
1603,225,0
1604,-247,0
1605,145,0
1606,-133,0
1607,,
1608,81,0
1609,-128,0
1610,128,0
1611,,
1612,-74,0
1613,117,0
1614,-10,0
1615,-4,0
1616,41,0
1617,-148,0
1618,-35,0
1619,419,0
1620,,
1621,570,1
1622,,
1623,,
1624,170,0
1625,,
1626,-73,0
1627,100,0
1628,128,1
1629,-59,0
1630,-63,0
1631,-33,0
1632,,
1633,533,0
1634,-30,0
1635,2,0
1636,86,0
1637,-106,0
1638,116,0
1639,-95,0
1640,430,1
1641,239,1
1642,57,0
1643,,
1644,61,0
1645,208,0
1646,227,0
1647,-22,0
1648,,
1649,894,1
1650,118,0
1651,204,0
1652,,
1653,,
1654,41,0
1655,-52,0
1656,-29,1
1657,-58,0
1658,-75,0
1659,-123,0
1660,-152,0
1661,32,0
1662,-33,0
1663,430,0
1664,-47,0
1665,552,0
1666,897,0
1667,348,0
1668,-37,0
1669,1302,0
1670,147,0
1671,40,0
1672,-12,1
1673,-94,1
1674,254,1
1675,170,0
1676,65,1
1677,-105,0
1678,-9,0
1679,,
1680,103,0
1681,54,0
1682,336,0
1683,,
1684,,
1685,,
1686,67,1
1687,-11,1
1688,265,0
1689,134,0
1690,742,0
1691,586,1
1692,897,1
1693,44,0
1694,-94,0
1695,148,0
1696,862,0
1697,-66,1
1698,205,0
1699,-134,0
1700,295,1
1701,-160,0
1702,-17,0
1703,,
1704,158,1
1705,642,0
1706,,
1707,,
1708,,
1709,-141,0
1710,253,0
1711,-37,0
1712,,
1713,-139,0
1714,179,1
1715,0,1
1716,784,0
1717,13,0
1718,482,1
1719,,
1720,-55,0
1721,306,1
1722,222,0
1723,,
1724,,
1725,105,0
1726,10,0
1727,237,0
1728,-7,1
1729,,
1730,311,0
1731,-29,1
1732,-63,0
1733,222,0
1734,1,0
1735,76,0
1736,-17,0
1737,-81,0
1738,-58,0
1739,88,0
1740,1171,0
1741,149,0
1742,17,0
1743,81,0
1744,-140,0
1745,-2,1
1746,-93,0
1747,-54,0
1748,-16,0
1749,,
1750,-1,0
1751,6,1
1752,,
1753,,
1754,108,0
1755,133,0
1756,70,0
1757,-3,0
1758,,
1759,-22,0
1760,126,0
1761,-17,1
1762,115,0
1763,,
1764,-34,0
1765,25,0
1766,-39,0
1767,237,0
1768,295,0
1769,,
1770,,
1771,-27,0
1772,380,1
1773,648,0
1774,-78,0
1775,14,0
1776,404,1
1777,,
1778,-31,0
1779,173,1
1780,-54,0
1781,-178,1
1782,,
1783,272,0
1784,-64,0
1785,-29,0
1786,,
1787,-53,0
1788,49,0
1789,,
1790,448,1
1791,-102,0
1792,-18,0
1793,186,1
1794,154,0
1795,1053,1
1796,,
1797,458,0
1798,272,1
1799,8,0
1800,627,0
1801,,
1802,-2,0
1803,587,0
1804,317,0
1805,,
1806,,
1807,-21,0
1808,-24,0
1809,151,0
1810,176,1
1811,-29,0
1812,,
1813,550,0
1814,290,0
1815,-29,0
1816,,
1817,27,0
1818,,
1819,82,1
1820,273,1
1821,1212,0
1822,33,0
1823,60,0
1824,-93,1
1825,647,0
1826,-11,0
1827,277,0
1828,-48,1
1829,265,1
1830,-111,0
1831,,
1832,,
1833,753,0
1834,105,0
1835,178,0
1836,-35,0
1837,,
1838,-134,0
1839,71,1
1840,-12,0
1841,73,0
1842,-19,0
1843,110,1
1844,,
1845,-33,0
1846,429,0
1847,-35,1
1848,262,0
1849,-3,0
1850,-2,0
1851,563,0
1852,-165,0
1853,-36,0
1854,-20,0
1855,-39,0
1856,-9,0
1857,806,0
1858,-19,0
1859,209,0
1860,-66,1
1861,-16,1
1862,,
1863,261,0
1864,142,0
1865,-63,0
1866,1,0
1867,-67,0
1868,28,0
1869,224,0
1870,-1,0
1871,116,0
1872,-6,0
1873,-76,0
1874,,
1875,,
1876,58,0
1877,831,0
1878,-52,0
1879,16,0
1880,-144,0
1881,-29,0
1882,-69,1
1883,-28,1
1884,144,0
1885,-82,0
1886,12,0
1887,,
1888,12,0
1889,610,0
1890,408,0
1891,-53,0
1892,-11,1
1893,453,1
1894,,
1895,14,0
1896,339,0
1897,-72,0
1898,188,1
1899,-7,0
1900,146,0
1901,-31,0
1902,217,0
1903,-133,1
1904,21,0
1905,-91,0
1906,617,0
1907,-50,0
1908,-27,0
1909,740,0
1910,385,0
1911,-9,0
1912,-7,0
1913,-186,0
1914,67,0
1915,390,0
1916,-7,0
1917,-98,1
1918,-126,0
1919,-38,0
1920,,
1921,376,0
1922,,
1923,227,0
1924,331,0
1925,28,0
1926,-43,0
1927,297,1
1928,244,0
1929,-18,0
1930,54,0
1931,264,0
1932,100,0
1933,97,0
1934,,
1935,1090,0
1936,415,0
1937,517,1
1938,259,0
1939,3,0
1940,,
1941,-55,1
1942,56,0
1943,-63,0
1944,,
1945,40,0
1946,,
1947,15,0
1948,244,1
1949,118,0
1950,540,0
1951,,
1952,255,0
1953,57,0
1954,1413,0
1955,69,0
1956,823,0
1957,,
1958,535,1
1959,1386,0
1960,-85,0
1961,-2,0
1962,-51,0
1963,,
1964,10,0
1965,14,0
1966,630,0
1967,-26,1
1968,49,0
1969,,
1970,-49,0
1971,15,0
1972,459,1
1973,585,0
1974,,
1975,-44,0
1976,-29,0
1977,-62,0
1978,,
1979,23,0
1980,-8,0
1981,43,0
1982,-17,0
1983,,
1984,105,0
1985,174,0
1986,370,0
1987,,
1988,-64,0
1989,,
1990,45,0
1991,385,1
1992,-2,0
1993,-10,0
1994,,
1995,-61,0
1996,,
1997,-64,0
1998,-65,0
1999,-126,0
2000,,
2001,435,0
2002,59,0
2003,-36,0
2004,,
2005,79,0
2006,421,1
2007,-53,0
2008,1710,0
2009,560,0
2010,1,0
2011,121,0
2012,1772,1
2013,,
2014,143,0
2015,348,0
2016,237,0
2017,17,1
2018,671,0
2019,-5,0
2020,-30,1
2021,80,0
2022,308,0
2023,-15,1
2024,15,0
2025,421,0
2026,-20,0
2027,3,1
2028,416,0
2029,1686,0
2030,7,0
2031,-13,0
2032,1022,0
2033,100,1
2034,,
2035,,
2036,,
2037,146,0
2038,-51,0
2039,231,0
2040,-15,0
2041,148,1
2042,284,0
2043,,
2044,31,0
2045,478,1
2046,61,1
2047,-22,0
2048,-44,0
2049,239,0
2050,,
2051,56,0
2052,-40,1
2053,93,1
2054,,
2055,114,1
2056,-39,0
2057,42,0
2058,,
2059,,
2060,338,0
2061,153,1
2062,433,1
2063,14,1
2064,662,0
2065,,
2066,370,0
2067,1256,1
2068,-1,0
2069,-31,0
2070,,
2071,657,0
2072,-15,0
2073,,
2074,288,1
2075,-43,0
2076,,
2077,121,0
2078,,
2079,-75,1
2080,-78,0
2081,-49,0
2082,-141,0
2083,401,0
2084,-203,1
2085,-17,0
2086,15,0
2087,-59,0
2088,-31,0
2089,446,1
2090,49,0
2091,6,0
2092,38,0
2093,,
2094,9,1
2095,666,0
2096,-31,0
2097,117,1
2098,-53,0
2099,-17,1
2100,-25,0
2101,73,0
2102,-41,1
2103,,
2104,11,0
2105,,
2106,-129,1
2107,15,0
2108,57,0
2109,-34,0
2110,126,0
2111,206,0
2112,204,0
2113,656,1
2114,-73,0
2115,,
2116,-127,0
2117,-28,0
2118,155,0
2119,128,0
2120,204,0
2121,,
2122,378,1
2123,,
2124,313,0
2125,-24,0
2126,132,0
2127,-21,0
2128,-51,0
2129,-70,0
2130,489,1
2131,-12,0
2132,250,0
2133,17,0
2134,-23,1
2135,-35,0
2136,11,0
