id,age,income,tenure9,district
83,2,5,5.16,1200
84,3,6,4.66,1200
85,3,8,1.5,1200
86,3,7,7.08,1200
87,6,1,34.5,1200
88,5,9,11.08,1200
89,6,7,4.58,1200
90,2,7,3.75,1200
91,7,6,10.08,1100
92,6,6,6.5,1200
93,7,9,33.5,1200
94,4,6,10.25,1300
95,4,6,8.83,1200
96,4,1,5.5,1300
97,,,5.08,1200
98,4,9,21.41,1200
99,4,4,10.66,1200
100,,,5.91,1200
101,2,4,7.5,1200
102,3,6,6.75,1100
103,5,7,6.83,1200
104,,,24,1200
105,7,3,20.58,1100
106,,,2,1200
107,4,3,5.58,1200
108,,,12.66,1200
109,4,8,21.08,1200
110,5,9,20.83,1200
111,3,1,4.16,1200
112,,,3.5,1300
113,2,4,9.41,1200
114,,,7.58,1200
115,7,1,1.91,1200
116,3,1,3.75,1200
117,5,7,4.58,1200
118,3,2,6.41,1300
119,3,6,7.5,1200
120,2,7,4.41,1200
121,5,6,6.75,1200
122,,,8.16,1200
123,,,6.5,1200
124,,,5.41,1200
125,6,7,41.16,1200
126,1,2,13.91,1200
127,3,6,2.75,1200
128,4,9,14.25,1200
129,3,3,1.91,1200
130,4,7,17.5,1200
131,7,4,37.41,1300
132,,,3.16,1200
133,4,4,22.25,1100
134,,,5.33,1300
135,4,6,9.25,1200
136,3,6,4.5,1200
137,,,6.08,1200
138,4,6,4.08,1200
139,2,6,10.08,1200
140,2,,1.33,1200
141,3,6,8.91,1200
142,3,8,5.91,1300
143,,,1.5,1300
144,,,3,1200
145,,,8.25,1200
146,,,10.16,1200
147,2,9,3.66,1200
148,5,6,26.75,1200
149,3,7,5.91,1200
150,,,11.58,1300
151,,,1,1200
152,,,4.41,1200
153,6,3,25.83,1200
154,6,6,30.08,1200
155,6,3,2.16,1200
156,6,6,5.41,1200
157,,,6.16,1200
158,4,6,7,1200
159,2,5,4,1300
160,,,11.25,1300
161,,,2.75,1200
162,3,7,7.08,1200
163,,7,9.08,1200
164,,,7.91,1200
165,7,6,14.33,1200
166,5,5,3.58,1200
167,3,5,1,1200
168,3,8,4.25,1200
169,4,9,15.41,1200
170,3,6,13.58,1200
171,,,3.66,1200
172,2,6,5.16,1200
173,5,1,20.41,1100
174,,,3.75,1200
175,,,29.25,1100
176,4,1,5.08,1300
177,,,0.16,1200
178,,,13.83,1200
179,,2,7.08,1200
180,7,3,26.41,1200
181,3,6,0.75,1200
182,5,5,3.75,1200
183,7,3,2.33,1200
184,5,5,10.5,1200
185,3,7,1.41,1200
186,,,19.5,1200
187,2,7,10.08,1200
188,4,5,21.41,1200
189,7,2,8.91,1200
190,2,9,5.08,1200
191,3,6,3.66,1200
192,3,8,5,1200
193,,,4.5,1100
194,2,6,6.58,1300
195,3,1,2.41,1200
196,,,17.66,1200
197,4,7,9.75,1200
198,4,5,13.16,1300
199,,,4.33,1200
200,2,8,4.91,1200
201,4,6,14.91,1200
202,5,3,22.5,1100
203,2,6,7.75,1200
204,7,2,15.16,1200
205,5,5,5,1200
206,5,4,20.58,1200
207,,,2.91,1300
208,5,9,30.08,1200
209,4,6,3.5,1200
210,4,6,4.5,1300
211,7,1,18.16,1200
212,3,7,1.91,1300
213,7,9,27.25,1200
214,1,7,2.75,1100
215,4,6,11.08,1200
216,,,4.91,1200
217,2,1,5.16,1200
218,4,3,18.25,1200
219,,,13.66,1200
220,2,6,5.75,1200
221,7,6,22.08,1200
222,7,1,16.16,1200
223,,,5.33,1200
224,4,5,25.33,1200
225,,,16.58,1200
226,7,5,8.25,1200
227,3,4,4.58,1200
228,4,6,4.16,1200
229,,,4.5,1100
230,,,12,1200
231,,,4.66,1200
232,4,6,5.25,1200
233,,,9.16,1200
234,6,4,26.91,1200
235,2,,5.08,1200
236,4,6,15.33,1200
237,7,7,9,1300
238,2,3,11.41,1200
239,,,4.41,1300
240,3,,2.25,1200
241,2,6,0.5,1200
242,3,7,1.5,1200
243,4,9,21.83,1200
244,7,3,9.75,1200
245,,,8.5,1200
246,,,2.08,1200
247,,,4.08,1200
248,3,5,11.25,1200
249,5,6,26.33,1200
250,5,6,0.83,1200
251,4,9,17.75,1200
252,7,4,11.41,1200
253,,,3.41,1200
254,4,9,19.66,1200
255,5,1,18.33,1200
256,2,1,0.66,1200
257,7,3,0.58,1200
258,6,3,1.58,1300
259,,,4,1200
260,,,2.25,1200
261,7,2,0.16,1200
262,,,17.08,1100
263,2,6,6.25,1300
264,,,7,1200
265,3,4,6.25,1200
266,4,8,5.08,1300
267,,8,18.5,1200
268,5,8,5.25,1200
269,3,9,13.5,1200
270,1,,2.75,1300
271,,,18.33,1300
272,4,4,27.08,1200
273,4,6,1.75,1200
274,4,6,13.33,1200
275,1,4,2.5,1100
276,,,1.66,1200
277,5,4,29.66,1200
278,5,8,21.41,1200
279,7,9,3.25,1200
280,7,6,10.66,1200
281,4,4,7.08,1200
282,2,2,7.25,1200
283,2,1,5.41,1100
284,2,1,4.25,1200
285,7,1,30.91,1300
286,4,9,5.58,1200
287,,,5.66,1300
288,,,13.41,1200
289,6,6,9.83,1200
290,,,3.5,1200
291,7,6,6.5,1200
292,7,3,10.58,1200
293,2,1,14.91,1200
294,,,1.58,1200
295,6,8,9,1200
296,,,1.08,1200
297,5,5,5.16,1200
298,4,3,18.16,1200
299,1,6,11,1200
300,3,6,9.83,1200
301,2,9,4.16,1300
302,3,8,21.08,1200
303,3,5,9.66,1100
304,,,3.66,1200
305,4,9,24.75,1200
306,6,3,26.58,1200
307,3,5,6.08,1300
308,7,6,3.83,1200
309,2,2,4.16,1200
310,4,6,12.91,1200
311,4,6,23.66,1200
312,,,2.33,1200
313,,3,4.33,1200
314,6,3,26.83,1200
315,5,7,35.08,1200
316,3,9,5.66,1200
317,,,3.41,1200
318,4,6,6.58,1200
319,4,8,24.91,1200
320,,,21.16,1200
321,,,17,1200
322,,,24.08,1200
323,3,8,4.66,1300
324,,,16.5,1200
325,,,5.58,1200
326,,,12.91,1200
327,2,6,1.58,1200
328,,,2.58,1300
329,7,9,11.08,1100
330,,,10.41,1300
331,4,2,7.16,1100
332,4,9,16.16,1200
333,4,6,7,1200
334,,,0.5,1200
335,3,1,3.83,1100
336,3,6,5.16,1200
337,4,9,5.16,1200
338,4,4,6.58,1100
339,2,8,8.33,1200
340,4,6,6.5,1200
341,5,7,4.91,1200
342,,,16.58,1200
343,,,7.66,1200
344,7,5,12.16,1200
345,,,4.91,1200
346,1,1,0.83,1300
347,4,6,4.16,1200
348,3,4,1.58,1200
349,,,27.83,1200
350,2,9,4.75,1200
351,4,9,2.41,1200
352,4,6,14.08,1200
353,3,7,2.41,1200
354,,,1.5,1300
355,7,9,1.66,1200
356,2,4,4.91,1200
357,5,3,18.58,1200
358,4,9,32.5,1200
359,3,8,7.91,1300
360,,,4.58,1200
361,,,15.5,1200
362,5,5,21.91,1200
363,3,3,4.33,1200
364,3,9,17.08,1200
365,4,7,27.25,1200
366,,,1.58,1300
367,4,6,0.5,1200
368,3,3,6.66,1100
369,6,6,0.5,1200
370,3,3,1.5,1200
371,5,9,9.83,1200
372,3,7,5.41,1200
373,5,7,5.5,1200
374,,,10.83,1200
375,,,23.25,1300
376,3,7,17.5,1200
377,4,7,10.75,1200
378,,,12.5,1200
379,1,,4.16,1300
380,,,10.41,1200
381,,,40.66,1200
382,5,6,18.58,1200
383,4,5,13.5,1200
384,4,9,13.66,1200
385,3,5,5.58,1200
386,7,6,11.58,1200
387,2,9,5.91,1200
388,4,6,3.41,1300
389,,,12.41,1300
390,4,4,18.41,1300
391,2,6,6.91,1300
392,2,6,7.33,1200
393,3,8,13.91,1200
394,2,3,3.58,1200
395,3,6,4.83,1200
396,4,6,2.58,1200
397,7,4,7.25,1100
398,4,7,29.33,1200
399,,,27.41,1100
400,7,4,2.83,1300
401,,,3.83,1200
402,4,5,9.66,1200
403,3,5,7.41,1100
404,4,4,8.16,1200
405,7,3,7.41,1200
406,4,6,4.75,1100
407,,,4.33,1200
408,4,6,21.08,1200
409,4,4,22.33,1300
410,5,7,17.5,1200
411,3,6,19.33,1200
412,5,3,10.5,1200
413,,,9.83,1200
414,,,12.08,1200
415,6,4,15.08,1200
416,2,4,6.33,1100
417,3,7,9.66,1200
418,,1,2.5,1200
419,2,1,7.91,1200
420,,,6.75,1200
421,7,1,21.66,1200
422,3,9,10.33,1200
423,5,9,15.66,1200
424,6,7,5.66,1100
425,3,5,4.75,1200
426,4,2,26,1200
427,6,9,19.16,1200
428,2,1,2.83,1200
429,6,6,13.58,1200
430,,1,1.58,1100
431,4,8,7.41,1200
432,6,3,11.08,1100
433,,,8.33,1300
434,7,6,15.66,1200
435,,,4.91,1300
436,7,1,30.08,1200
437,4,1,3.08,1100
438,,,1.58,1300
439,,,17.25,1200
440,4,6,5.91,1200
441,6,3,22.5,1300
442,1,2,7.33,1200
443,,,10.83,1100
444,3,6,2.41,1200
445,2,4,6,1300
446,7,4,19.83,1300
447,6,7,27.66,1200
448,,,17,1200
449,3,5,6.83,1200
450,2,3,3.33,1200
451,4,1,5,1100
452,,,10.66,1200
453,,,2.08,1200
454,4,2,14.75,1100
455,5,9,5.25,1300
456,,,1.33,1100
457,2,6,6.66,1200
458,7,1,20,1200
459,2,4,8.33,1200
460,7,4,19.33,1300
461,3,8,7,1200
462,,,33.83,1100
463,4,6,6.58,1100
464,6,,4.66,1300
465,,,3.91,1200
466,3,1,6.16,1200
467,7,6,12,1200
468,6,3,10.5,1200
469,3,9,16.33,1200
470,7,9,0.91,1200
471,5,5,28,1200
472,,,9.66,1200
473,1,6,4.83,1200
474,2,7,5.91,1200
475,,,1.66,1300
476,,,4.33,1300
477,4,6,2.41,1200
478,6,5,7.33,1200
479,5,6,11.25,1200
480,,,1,1200
481,7,9,10.91,1200
482,,6,22.33,1200
483,6,4,6.83,1300
484,,,1.75,1200
485,4,7,7.75,1200
486,,,37.41,1200
487,7,6,7.58,1200
488,2,1,10.5,1100
489,7,7,3.75,1300
490,7,3,18.25,1200
491,7,6,19.25,1200
492,,,11.33,1200
493,2,2,1.66,1200
494,,,4.66,1200
495,,,5.83,1200
496,5,6,29.66,1200
497,3,6,10.33,1200
498,4,5,33.5,1300
499,7,1,10.41,1200
500,3,6,14.75,1200
501,,,34.25,1300
502,4,3,30.91,1300
503,4,2,0.75,1200
504,4,6,19.41,1200
505,,,7.58,1200
506,3,5,6,1200
507,2,6,2.33,1200
508,2,4,9,1200
509,,,0.5,1300
510,7,4,13.33,1200
511,7,6,7.58,1200
512,6,5,11.41,1200
513,4,6,4.5,1200
514,,,1,1100
515,3,9,9.75,1200
516,4,8,18.58,1200
517,3,9,33.75,1200
518,,,3.16,1200
519,4,9,11.25,1200
520,,,22.83,1200
521,,,5.08,1200
522,2,3,6.33,1200
523,2,4,4.66,1100
524,3,5,4.08,1300
525,5,9,1.66,1200
526,6,6,6.75,1100
527,,,12.83,1200
528,,,4.58,1200
529,3,6,7.16,1200
530,4,9,3.91,1200
531,2,7,9.66,1200
532,6,2,3.33,1300
533,7,2,28.58,1200
534,,,10.66,1200
535,,,8.58,1200
536,4,3,6.33,1200
537,6,8,11.5,1200
538,,,26.08,1100
539,,,9.5,1300
540,,1,6,1200
541,3,6,13.5,1200
542,3,8,3.33,1200
543,7,9,4.91,1200
544,7,9,14.16,1200
545,4,9,5.66,1200
546,2,1,12.25,1100
547,,,2.66,1100
548,5,6,28.33,1200
549,4,5,1.66,1300
550,3,8,3.25,1200
551,,,22.08,1200
552,,,4.66,1200
553,6,5,6.75,1300
554,,,3.66,1200
555,,,5.58,1200
556,4,6,2.08,1200
557,7,3,5.08,1100
558,,,4.25,1200
559,2,6,2.33,1200
560,,,16.91,1200
561,6,6,3.91,1200
562,4,5,3.66,1100
563,,,3.83,1200
564,6,6,33.41,1200
565,3,5,5.5,1200
566,6,5,0.66,1200
567,,,15.75,1200
568,4,7,18.41,1300
569,1,3,5.33,1300
570,5,6,14.08,1200
571,,,5.75,1200
572,4,5,4.25,1200
573,,,6.16,1200
574,2,8,4.41,1200
575,,,1.33,1200
576,,,7.25,1300
577,,,22.41,1200
578,3,7,22.16,1200
579,5,1,13.08,1200
580,2,8,4.75,1200
581,6,2,25.41,1200
582,4,7,17.83,1200
583,3,8,1.25,1200
584,3,7,19.83,1200
585,,,11.5,1300
586,3,5,5,1100
587,4,4,3.5,1200
588,,,1.41,1200
589,,,3,1200
590,4,3,17.91,1200
591,,,6.58,1200
592,3,,7.16,1200
593,2,6,4.58,1200
594,,,3.25,1200
595,3,6,10.41,1300
596,3,6,1.91,1200
597,6,4,31,1200
598,3,5,0.83,1200
599,2,4,5.25,1100
600,,,5,1200
601,3,6,14.58,1200
602,7,2,18,1200
603,3,6,1.41,1200
604,5,9,38.58,1200
605,3,8,0.66,1200
606,3,6,5.83,1200
607,5,6,6.91,1100
608,5,9,13.41,1200
609,6,3,28.41,1200
610,7,6,16.41,1100
611,1,4,5,1300
612,2,6,2,1200
613,,,7.41,1200
614,,,1.25,1200
615,2,9,1.5,1200
616,,,3.83,1200
617,2,6,4.16,1200
618,2,4,6.33,1200
619,3,9,8.41,1200
620,5,6,2.16,1200
621,4,7,3.66,1100
622,,,8.75,1200
623,5,5,25.25,1300
624,2,5,7.83,1100
625,,,2.25,1100
626,5,4,1.5,1300
627,4,9,23.16,1200
628,4,7,7.91,1200
629,5,6,1.58,1200
630,5,7,16.25,1200
631,6,1,25.75,1100
632,5,6,18.08,1100
633,3,9,5.41,1200
634,7,4,21.08,1100
635,7,5,9.75,1200
636,3,3,5,1200
637,,,4.08,1300
638,,,17.66,1300
639,3,4,6.83,1200
640,5,1,0.83,1200
641,3,3,20,1200
642,4,4,3.83,1200
643,,,1.41,1300
644,3,6,3.91,1200
645,2,4,12.41,1100
646,4,6,26.58,1200
647,5,5,21.5,1300
648,2,8,6.41,1300
649,6,5,30.83,1200
650,,,33.66,1300
651,2,4,2.41,1200
652,3,7,19.08,1200
653,4,9,1,1200
654,3,2,6.08,1200
655,6,7,6.91,1200
656,,,22.08,1200
657,,,11.66,1100
658,,,12.5,1300
659,1,1,15.83,1200
660,,,5.16,1200
661,7,9,12.08,1200
662,,,7.58,1100
663,5,3,8.83,1100
664,6,7,31.75,1200
665,,,4.5,1200
666,,,3.41,1100
667,,,9.25,1300
668,,,1.16,1200
669,,,18,1200
670,3,9,4.75,1200
671,,,16.33,1300
672,3,1,5.75,1300
673,3,2,4,1300
674,5,4,31,1200
675,,,1.58,1200
676,,,6.25,1100
677,6,8,30.25,1200
678,3,9,17.66,1200
679,,,2.16,1200
680,,,1,1200
681,,,1.91,1200
682,2,6,3.08,1200
683,3,1,14.16,1200
684,2,4,4.66,1200
685,,,8.91,1200
686,,,6.75,1300
687,3,6,7.41,1200
688,,,8.08,1200
689,,,7.5,1200
690,,,7.08,1200
691,4,6,7.83,1200
692,5,6,27.33,1200
693,6,2,20.91,1100
694,,,0.33,1300
695,4,1,7.33,1100
696,3,6,7,1200
697,5,7,18.58,1200
698,2,,0.25,1200
699,2,6,3.91,1200
700,,,3.91,1200
701,2,3,11.25,1200
702,5,4,7.58,1200
703,7,6,8.16,1200
704,7,4,5.33,1200
705,,,4.83,1200
706,5,9,18.66,1200
707,5,6,2.5,1100
708,7,6,36.58,1200
709,7,7,7.66,1200
710,4,9,6.33,1200
711,4,7,3.75,1200
712,5,7,2.91,1200
713,4,3,30.75,1200
714,3,4,4.16,1200
715,,,4.08,1200
716,,,13.33,1200
717,,,27.08,1200
718,4,5,12.83,1200
719,,,25.08,1200
720,7,5,21.41,1300
721,6,3,21.66,1200
722,3,3,7.33,1200
723,5,6,1.33,1200
724,3,7,1.08,1200
725,4,5,30.08,1200
726,2,8,6.5,1200
727,,,1.91,1100
728,,,13.58,1300
729,4,8,7.33,1300
730,,,1,1300
731,,,2.91,1200
732,7,1,26.33,1200
733,4,9,23.25,1200
734,7,6,15.83,1100
735,2,9,4.91,1200
736,4,9,18.91,1200
737,3,3,11.41,1200
738,4,6,0.91,1100
739,2,5,3.91,1200
740,1,5,9.08,1200
741,,,2.33,1200
742,,,2.41,1100
743,3,3,2.25,1300
744,2,6,5.66,1200
745,,,21.91,1200
746,4,3,7.33,1200
747,3,4,8.16,1200
748,2,7,7.66,1200
749,7,2,36,1100
750,4,3,0.58,1200
751,2,1,7.58,1200
752,2,7,5.33,1200
753,2,7,4.5,1200
754,2,4,4.91,1100
755,2,3,5.91,1200
756,2,,1.75,1200
757,5,1,24.33,1300
758,2,6,7.08,1200
759,7,8,14.33,1200
760,2,4,7.5,1300
761,,,2.66,1200
762,5,8,14.83,1100
763,,,6.33,1100
764,3,7,10.25,1200
765,,,3.41,1200
766,,5,21.5,1300
767,3,3,3.33,1200
768,4,6,7.58,1200
769,7,5,11.16,1200
770,4,7,2.5,1200
771,5,4,0.91,1100
772,3,3,4.83,1200
773,7,3,14.25,1200
774,4,6,14.83,1200
775,2,6,4.66,1200
776,,,0.16,1300
777,5,8,17.58,1200
778,3,7,15.5,1200
779,2,5,6.83,1200
780,,,1.41,1100
781,3,9,3.25,1200
782,3,7,6.66,1200
783,3,8,6.16,1200
784,5,3,14.33,1200
785,,,0.41,1200
786,4,6,0.83,1200
787,2,5,7.58,1200
788,,,5.16,1200
789,7,5,4.16,1200
790,3,1,3,1200
791,4,6,4.66,1200
792,4,2,13,1200
793,4,7,16.08,1200
794,6,5,5.66,1100
795,,,1.5,1200
796,6,6,7.58,1200
797,,,8.58,1200
798,2,6,5,1200
799,3,7,8.08,1200
800,4,7,12.25,1200
801,,,2.91,1300
802,3,3,17.08,1300
803,4,5,5.08,1100
804,4,3,13.16,1200
805,,2,0.41,1200
806,4,5,21.66,1200
807,4,6,23.08,1200
808,2,8,8,1200
809,5,6,27.91,1200
810,4,7,7,1200
811,6,4,7.08,1200
812,2,1,0.58,1200
813,,,9.08,1200
814,3,8,4.25,1200
815,3,6,3,1200
816,2,7,5.08,1200
817,,,16.83,1100
818,2,1,0.83,1200
819,6,4,29.41,1200
820,3,9,12,1200
821,6,7,25.41,1200
822,3,3,15.58,1200
823,7,1,4.5,1300
824,6,5,17.08,1300
825,2,2,9.58,1100
826,3,5,2.41,1100
827,,,3.66,1300
828,7,7,17.25,1200
829,6,1,7.25,1200
830,4,7,14.83,1300
831,4,7,17.66,1200
832,2,7,11.41,1200
833,,,4.25,1200
834,5,7,10.41,1200
835,,3,0.91,1200
836,3,3,0.83,1200
837,4,7,3.5,1200
838,4,6,10.58,1200
839,4,9,4.66,1200
840,,,19.33,1200
841,4,3,9.66,1200
842,,,3.91,1200
843,5,9,6.66,1200
844,7,1,26.25,1200
845,3,1,16.58,1300
846,3,8,10.58,1200
847,4,6,26.75,1200
848,4,2,3.83,1200
849,7,6,30.08,1200
850,5,6,13.83,1200
851,5,6,5.16,1200
852,4,3,1.16,1200
853,,,10.08,1200
854,2,7,6.75,1200
855,4,6,10.91,1200
856,4,6,28.41,1300
857,,,19.41,1300
858,4,5,13.5,1100
859,6,8,23.5,1200
860,3,5,1.5,1200
861,,,11.5,1200
862,6,6,28.16,1200
863,6,6,2.91,1200
864,,,30.41,1300
865,,,7.83,1300
866,4,8,15.91,1200
867,2,3,8.75,1200
868,,,4.25,1200
869,3,6,12.75,1200
870,,,5.83,1200
871,,,7.5,1200
872,4,6,15.25,1200
873,4,8,3,1200
874,,,2.5,1200
875,3,8,12.58,1200
876,5,6,7.83,1200
877,,,4.83,1100
878,2,8,6.66,1300
879,7,5,2.58,1300
880,,,8.25,1200
881,4,1,23.91,1100
882,3,8,17.5,1200
883,5,4,26.16,1300
884,6,6,30.41,1200
885,,,0.41,1200
886,3,9,18.08,1200
887,5,6,13.16,1200
888,6,6,1.41,1100
889,3,9,6.75,1200
890,,,13.25,1200
891,1,9,0.91,1200
892,5,2,3.41,1200
893,3,7,9.41,1200
894,5,9,26.75,1200
895,3,1,5.91,1200
896,6,7,23.83,1200
897,,,5.66,1200
898,,,14.08,1200
899,,,29.16,1300
900,5,4,27.91,1200
901,6,1,8.16,1300
902,3,9,4.83,1200
903,4,7,26.33,1200
904,,,2.25,1100
905,,,1.58,1200
906,4,4,1.58,1300
907,2,1,8.08,1200
908,3,4,20.33,1300
909,1,3,2.5,1200
910,,,1.91,1200
911,3,7,19.58,1200
912,3,,5,1200
913,7,6,31.58,1200
914,7,3,22.08,1200
915,4,7,3.41,1200
916,,,8.5,1300
917,4,8,10.16,1200
918,,,1.41,1200
919,2,1,2.58,1200
920,,,4.83,1200
921,,,0.33,1300
922,7,,23.75,1200
923,5,6,6.41,1200
924,2,3,1.08,1200
925,5,6,7.58,1100
926,2,5,5.41,1100
927,,,10.75,1200
928,,,7.58,1100
929,3,5,13.83,1200
930,3,6,9.5,1200
931,,1,1.41,1100
932,3,,1.5,1300
933,3,8,4.33,1200
934,3,6,9.08,1200
935,,,5.33,1200
936,,,1.41,1300
937,,,7.41,1200
938,5,4,1.25,1200
939,5,3,14.41,1200
940,,,1.5,1300
941,2,6,6.33,1200
942,,,2.5,1200
943,4,9,0.66,1200
944,2,6,8.16,1200
945,3,6,4.75,1100
946,5,7,9.5,1200
947,5,3,33.08,1300
948,5,2,37.25,1200
949,4,7,6.41,1200
950,,,9.66,1200
951,7,4,22.91,1200
952,2,3,7.08,1200
953,7,7,7.83,1200
954,3,8,2.58,1200
955,,1,4.25,1200
956,4,4,13.83,1200
957,,,16.25,1300
958,7,5,24.91,1300
959,,,0.66,1200
960,4,9,12.58,1200
961,,,1.33,1200
962,6,1,24.16,1100
963,3,4,22.91,1100
964,,3,2.58,1100
965,5,6,25.83,1200
966,5,7,4,1200
967,4,6,14.58,1100
968,4,5,16.91,1200
969,,,0.41,1200
970,,,14.33,1200
971,,,1.41,1100
972,,,2.16,1200
973,,,3.83,1200
974,3,6,6.5,1200
975,7,4,18.16,1200
976,4,7,10.5,1200
977,,,7.5,1100
978,4,2,22.25,1300
979,3,6,7.5,1100
980,7,3,15.5,1200
981,7,9,4.5,1200
982,,,5.25,1200
983,4,6,4.41,1100
984,,,1.08,1200
985,2,5,4.58,1200
986,,,2.66,1100
987,,,13,1300
988,3,6,0.66,1200
989,5,6,27.75,1200
990,7,8,12.66,1200
991,,,5.41,1200
992,3,8,3.75,1300
993,,,7.66,1200
994,4,9,25.33,1200
995,3,3,4.58,1100
996,6,2,15.5,1100
997,5,7,8.41,1200
998,4,7,13.5,1200
999,3,4,14.16,1200
1000,,,12.83,1200
1001,,,33.66,1300
1002,1,1,12.16,1300
1003,,,6.91,1200
1004,4,7,17.66,1300
1005,,,5.25,1200
1006,3,5,6.41,1100
1007,3,7,1.08,1300
1008,,,2.25,1200
1009,3,3,6,1200
1010,5,5,28.16,1200
1011,,3,9.5,1200
1012,7,6,0.33,1200
1013,,,20.91,1200
1014,4,1,21.25,1200
1015,,,8.25,1200
1016,3,6,15.5,1200
1017,4,4,3.91,1200
1018,7,8,15.83,1200
1019,7,8,18.66,1200
1020,3,6,10.41,1200
1021,,,0.33,1200
1022,,,4.58,1200
1023,5,6,5.66,1200
1024,3,6,9.41,1100
1025,,,2.08,1200
1026,,,4,1300
1027,5,6,1.16,1200
1028,,,3.41,1200
1029,,,1.33,1200
1030,4,1,9.41,1200
1031,4,5,6.58,1200
1032,,,6.58,1200
1033,4,9,14.66,1200
1034,3,6,22.58,1200
1035,2,7,0.41,1200
1036,7,6,10.91,1300
1037,3,7,10.5,1300
1038,3,4,0.91,1200
1039,,,40,1100
1040,4,6,1,1200
1041,5,3,8.41,1300
1042,2,4,2.33,1200
1043,2,1,2.83,1100
1044,4,4,8.5,1100
1045,5,5,10.25,1100
1046,,,22.58,1200
1047,5,3,21.16,1200
1048,,,7.41,1300
1049,2,1,10,1200
1050,7,4,1.83,1300
1051,2,8,11,1200
1052,,,14.66,1100
1053,4,3,2.41,1300
1054,4,5,6.83,1100
1055,,,5.25,1100
1056,6,5,3.75,1200
1057,3,7,10.33,1200
1058,,,0.41,1200
1059,3,1,3.33,1200
1060,3,5,4.75,1200
1061,4,8,6.08,1200
1062,5,7,27.83,1200
1063,4,4,5.5,1200
1064,3,7,17.66,1200
1065,7,1,28.41,1300
1066,,,12.75,1200
1067,2,7,9.5,1200
1068,7,4,10.41,1200
1069,6,4,31.25,1300
1070,6,1,16.16,1100
1071,2,3,3.91,1200
1072,,,0.41,1200
1073,,,21.16,1200
1074,3,7,4.66,1300
1075,,,2.83,1200
1076,2,1,4.25,1200
1077,3,5,3.41,1200
1078,2,5,12.41,1200
1079,,,13.41,1200
1080,,,1.08,1300
1081,7,2,20.5,1200
1082,,,1.25,1200
1083,2,5,4.75,1200
1084,,6,3.08,1200
1085,5,6,3.41,1200
1086,,,3.5,1200
1087,7,4,31.83,1200
1088,,,20.5,1200
1089,,6,6.08,1200
1090,,,19.33,1100
1091,6,2,7.75,1300
1092,,,3.75,1200
1093,,,6.91,1200
1094,7,1,6.08,1300
1095,3,5,5.33,1300
1096,,,1.5,1100
1097,5,5,1.33,1200
1098,,,22.75,1300
1099,6,6,2.33,1200
1100,,,8.75,1100
1101,,,6.41,1200
1102,,,24.25,1100
1103,5,9,4.33,1200
1104,4,9,19.25,1200
1105,4,8,18.75,1200
1106,5,5,30.08,1200
1107,5,8,5.08,1300
1108,2,7,7.41,1200
1109,,,12.83,1200
1110,4,6,0.41,1200
1111,3,7,3.16,1200
1112,2,1,4.66,1200
1113,2,5,7.5,1200
1114,2,8,7.41,1200
1115,6,8,6.83,1200
1116,4,8,5.25,1200
1117,3,7,4.16,1200
1118,4,2,4.33,1100
1119,2,4,3.75,1300
1120,7,8,4.66,1200
1121,3,5,13.08,1200
1122,,,0.41,1100
1123,,,1.58,1200
1124,5,3,5.33,1100
1125,2,7,1.5,1300
1126,2,9,4.16,1200
